 0.0000000 0.0000000
 0.0010700 0.0032000
 0.0042800 0.0072000
 0.0096100 0.0119000
 0.0170400 0.0169000
 0.0265300 0.0216000
 0.0380600 0.0258300
 0.0515600 0.0306200
 0.0669900 0.0351600
 0.0842700 0.0393900
 0.1033200 0.0433700
 0.1240800 0.0470100
 0.1464500 0.0503600
 0.1703300 0.0535600
 0.1956200 0.0564800
 0.2222100 0.0588700
 0.2500000 0.0606800
 0.2788600 0.0619300
 0.3086600 0.0628700
 0.3392800 0.0635200
 0.3705900 0.0638500
 0.4024500 0.0638100
 0.4347400 0.0633400
 0.4673000 0.0624200
 0.5000000 0.0610200
 0.5327000 0.0591700
 0.5652600 0.0568800
 0.5975500 0.0542400
 0.6294100 0.0512900
 0.6607200 0.0481300
 0.6913400 0.0448600
 0.7211400 0.0415700
 0.7500000 0.0382600
 0.7777900 0.0349200
 0.8043801 0.0315400
 0.8296700 0.0281400
 0.8535500 0.0247600
 0.8759201 0.0214700
 0.8966800 0.0183200
 0.9157300 0.0153400
 0.9330100 0.0126100
 0.9484400 0.0101500
 0.9619400 0.0078700
 0.9734700 0.0057100
 0.9829600 0.0037900
 0.9903900 0.0021900
 0.9957200 0.0009900
 0.9989300 0.0002500
 1.0000000 0.0000000
