 0.0000000 0.0000000
 0.0010700 -.0030000
 0.0042800 -.0067000
 0.0096100 -.0095000
 0.0170400 -.0123900
 0.0265300 -.0146700
 0.0380600 -.0164800
 0.0515600 -.0182200
 0.0669900 -.0195000
 0.0842700 -.0201000
 0.1033200 -.0203200
 0.1240800 -.0205400
 0.1464500 -.0206500
 0.1703300 -.0203400
 0.1956200 -.0197000
 0.2222100 -.0190400
 0.2500000 -.0183500
 0.2788600 -.0177900
 0.3086600 -.0171900
 0.3392800 -.0165300
 0.3705900 -.0158300
 0.4024500 -.0151200
 0.4347400 -.0144000
 0.4673000 -.0136900
 0.5000000 -.0129800
 0.5327000 -.0122600
 0.5652600 -.0115400
 0.5975500 -.0108400
 0.6294100 -.0101300
 0.6607200 -.0094500
 0.6913400 -.0087800
 0.7211400 -.0081200
 0.7500000 -.0074900
 0.7777900 -.0068800
 0.8043801 -.0062900
 0.8296700 -.0057400
 0.8535500 -.0052100
 0.8759201 -.0047200
 0.8966800 -.0042700
 0.9157300 -.0038500
 0.9330100 -.0034700
 0.9484400 -.0031300
 0.9619400 -.0027000
 0.9734700 -.0021100
 0.9829600 -.0014800
 0.9903900 -.0008900
 0.9957200 -.0004100
 0.9989300 -.0001100
 1.0000000 0.0000000
